time,issues
2020-10-31,3610
2020-11-01,3613
2020-11-02,3618
2020-11-03,3625
2020-11-04,3633
2020-11-05,3637
2020-11-06,3642
2020-11-07,3646
2020-11-08,3649
2020-11-09,3654
2020-11-10,3663
2020-11-11,3668
2020-11-12,3675
2020-11-13,3687
2020-11-14,3690
2020-11-15,3692
2020-11-16,3700
2020-11-17,3710
2020-11-18,3718
2020-11-19,3726
2020-11-20,3735
2020-11-21,3738
2020-11-22,3739
2020-11-23,3743
2020-11-24,3746
2020-11-25,3751
2020-11-26,3759
2020-11-27,3761
2020-11-28,3764
2020-11-29,3769
2020-11-30,3775
2020-12-01,3782
2020-12-02,3789
2020-12-03,3792
2020-12-04,3796
2020-12-05,3799
2020-12-06,3800
2020-12-07,3805
2020-12-08,3811
2020-12-09,3816
2020-12-10,3824
2020-12-11,3832
2020-12-12,3835
2020-12-13,3839
2020-12-14,3847
2020-12-15,3858
2020-12-16,3872
2020-12-17,3879
2020-12-18,3882
2020-12-19,3885
2020-12-20,3887
2020-12-21,3893
2020-12-22,3901
2020-12-23,3907
2020-12-24,3912
2020-12-25,3918
2020-12-26,3920
2020-12-27,3923
2020-12-28,3929
2020-12-29,3933
2020-12-30,3934
2021-01-01,3935
2021-01-03,3938
2021-01-04,3946
2021-01-05,3954
2021-01-06,3959
2021-01-07,3971
2021-01-08,3981
2021-01-09,3983
2021-01-10,4001
2021-01-11,4007
2021-01-12,4009
2021-01-13,4015
2021-01-14,4020
2021-01-15,4023
2021-01-16,4025
2021-01-17,4026
2021-01-18,4032
2021-01-19,4042
2021-01-20,4055
2021-01-21,4059
2021-01-22,4069
2021-01-23,4070
2021-01-24,4077
2021-01-25,4084
2021-01-26,4100
2021-01-27,4110
2021-01-28,4117
2021-01-29,4126
2021-01-30,4133
2021-01-31,4135
2021-02-01,4144
2021-02-02,4153
2021-02-03,4159
2021-02-04,4163
2021-02-05,4172
2021-02-06,4174
2021-02-07,4178
2021-02-08,4186
2021-02-09,4198
2021-02-10,4207
2021-02-11,4215
2021-02-12,4225
2021-02-13,4226
2021-02-14,4229
2021-02-15,4233
2021-02-16,4243
2021-02-17,4246
2021-02-18,4252
2021-02-19,4258
2021-02-20,4260
2021-02-21,4264
2021-02-22,4276
2021-02-23,4288
2021-02-24,4306
2021-02-25,4312
2021-02-26,4319
2021-02-27,4321
2021-02-28,4322
2021-03-01,4327
2021-03-02,4337
2021-03-03,4343
2021-03-04,4350
2021-03-05,4366
2021-03-06,4372
2021-03-07,4377
2021-03-08,4380
2021-03-09,4390
